chrlbl,citations,definition,first_citation_date,first_citation_text,last_citation_date,last_citation_text,part_of_speech,word,family
late 18C–early 19C,"[{'@class': 'new', '@first': 'yes', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', '#text': 'ms. additions To Piss Pins & Needles, to have a Gonorrhoea'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.', 'scaps': 'Pissing Pins and Needles', '#text': '. To have a gonorrhea'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}, {'date': '1986–7', 'tit': 'Maledicta', 'num': '161', 'b': ['piss money against the wall', 'piss pins and needles', 'pisser', 'pissing while'], '#text': 'IX In the U.K. one may hear of [...] (squander), (from the sting of gonorrheal infection), (vagina, or anything unpleasant), (a moment), etc'}]","to have venereal disease, esp. gonorrhoea",1786,"ms. additions To Piss Pins & Needles, to have a Gonorrhoea",1986.0,"IX In the U.K. one may hear of [...] (squander), (from the sting of gonorrheal infection), (vagina, or anything unpleasant), (a moment), etc",phrase,piss pins and needles,piss
1910s+,"[{'@first': 'yes', 'date': '1934', 'aut': 'H. Roth', 'tit': 'Call It Sleep', 'edn': '1977', 'num': '411', '#text': 'I could piss troo a beer-bottle then'}, {'date': '1977', 'con': '1940s', 'aut': 'O. Manning', 'tit': 'Danger Tree', 'num': '131', '#text': 'For Marshal Timoshenko’s men / Are pissing through von Bock'}]",to do something with no difficulty,1934,I could piss troo a beer-bottle then,1977.0,For Marshal Timoshenko’s men / Are pissing through von Bock,phrase,piss through,piss
1980s,"{'@first': 'yes', 'date': '1985', 'con': '1968', 'aut': 'D.A. Dye', 'tit': 'Citadel', 'edn': '1989', 'num': '82', '#text': 'What did it all mean in the end? Fart in a whirlwind. Pissing up a picket rope. Hopeless'}",to be engaged in a futile exercise,1985,What did it all mean in the end? Fart in a whirlwind. Pissing up a picket rope. Hopeless,1985.0,What did it all mean in the end? Fart in a whirlwind. Pissing up a picket rope. Hopeless,phrase,piss up a rope,piss
20C+,"[{'@first': 'yes', 'date': '2002', 'tit': 'SomeLittleWing.net', '#text': 'Journal on  8 Jun. [Internet] A friend came over and helped me take D to see Star Wars: Attack of the Clones. D was going to piss up a storm if he weren’t able to see it in the theatre'}, {'@class': 'new', 'date': '2012', 'aut': 'N. Baker', 'tit': 'Delusions', 'num': '80', '#text': 'She could still piss up a storm, she could still be frightened'}]","to complain strongly, to make a major fuss",2002,Journal on  8 Jun. [Internet] A friend came over and helped me take D to see Star Wars: Attack of the Clones. D was going to piss up a storm if he weren’t able to see it in the theatre,2012.0,"She could still piss up a storm, she could still be frightened",phrase,piss up a storm,piss
1990s+,"{'@first': 'yes', '#text': '‘John pissed up a storm.’ It means that John pissed and pissed and pissed'}",to urinate for a relatively long time,None,‘John pissed up a storm.’ It means that John pissed and pissed and pissed,,‘John pissed up a storm.’ It means that John pissed and pissed and pissed,phrase,piss up a storm,piss
1990s+,"{'@first': 'yes', 'date': '1991', 'aut': 'D. Simon', 'tit': 'Homicide', 'edn': '1993', 'num': '614', '#text': 'You’re a lying piece of shit [...] You’re pissing up my leg here'}","to lie, to deceive",1991,You’re a lying piece of shit [...] You’re pissing up my leg here,1991.0,You’re a lying piece of shit [...] You’re pissing up my leg here,phrase,piss up someone’s leg,piss
late 18C–early 19C,"[{'@first': 'yes', 'date': ['1785', '1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'scaps': 'Piss', '#text': '. He will piss when he can’t whistle; he will be hanged'}, {'date': '1811', 'tit': 'Lex. Balatronicum', '#text': '[as cit. 1785]'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]",to be hanged,"['1785', '1788', '1796']",. He will piss when he can’t whistle; he will be hanged,1823.0,,phrase,piss when one cannot whistle,piss
1960s+,"[{'@first': 'yes', 'date': '1984', 'tit': 'Maledicta', 'num': '238', '#text': 'in  VIII I wouldn’t piss in his ass if his guts were on fire'}, {'@class': 'new', 'date': '1992', 'aut': 'R.G. Barrett', 'tit': 'White Shoes', 'num': '258', '#text': 'The press hated her [...] and wouldn’t piss on her if she was on fire'}, {'date': '1998', 'aut': 'B. Glikin', 'tit': 'Slinger Sanchez Running Gun', 'num': '40', '#text': 'I wouldn’t piss on them motherfuckers’ teeth if their mouths was on fire'}, {'@class': 'N331', 'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '125', 'scaps': 'you wouldn’t piss on him if he was on fire', '#text': '[Piss] may be applied in terms indicating contempt, such as'}, {'date': '2003', 'aut': 'C. Dixon', 'tit': 'Behind Closed Doors', 'num': '58', '#text': 'I wouldn’t piss on their asses if they were both on fire'}]",a phr. implying the speaker’s absolute contempt or loathing for the person thus decried,1984,in  VIII I wouldn’t piss in his ass if his guts were on fire,2003.0,I wouldn’t piss on their asses if they were both on fire,phrase,wouldn’t piss on someone if they were on fire,piss
1930s+,"[{'@first': 'yes', 'date': '1934', 'aut': 'H. Roth', 'tit': 'Call It Sleep', 'edn': '1977', 'num': '342', '#text': 'Jesus, if she don’ come out I’m gonna beat de piss outa —'}, {'@class': 'N331', 'date': '1935', 'aut': 'J. Conroy', 'tit': 'World to Win', 'num': '215', '#text': 'Let’s beat the everlastin’ holy piss out of him and then beat him for pissin’'}, {'date': '1947', 'aut': 'C. Willingham', 'tit': 'End as a Man', 'edn': '1952', 'num': '195', '#text': 'He’d go whip Wilson and probably mangle the piss out of him'}, {'@class': 'N331', 'date': '1948', 'con': '1944', 'aut': 'N. Mailer', 'tit': 'Naked and Dead', 'num': ['157', '158'], '#text': 'Ah’d beat the piss out of him, and he’d never make a sound. [Ibid.] He ended up by whoppin’ of that kid'}, {'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '172', 'i': 'him', '#text': 'A mental uppercut, that’s what he wanted of me. He was tired of beating the piss out of the other fellow – he wanted someone to go to work on'}, {'@class': 'N331', 'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '467', '#text': 'Then he beat the piss out of us – out of her too'}, {'date': '1952', 'aut': 'J. Jones', 'tit': 'From Here to Eternity', 'edn': '1998', 'num': '220', '#text': 'He took that knife away from the guy and proceeded to beat the piss out of him'}, {'date': '1962', 'aut': 'T. Berger', 'tit': 'Reinhart in Love', 'edn': '1963', 'num': '86', '#text': 'And Carlo, whom he had just been beating the piss out of, had almost to carry him back to bed'}, {'@class': 'N331', 'date': '1968', 'con': {'i': 'c', '#text': '.1900'}, 'aut': 'J. Thompson', 'tit': 'King Blood', 'edn': '1989', 'num': '30', '#text': 'I’ll learn yuh [...] Beat the fuckin’ piss out of yuh!'}, {'date': '1971', 'aut': 'T. Thackrey', 'tit': 'Thief', 'num': '292', '#text': 'There may have been a few who didn’t even get their kicks from beating the living piss out of some poor bastard'}, {'date': '1977', 'aut': 'E. Torres', 'tit': 'Q&A', 'num': '63', '#text': 'They pounce on us and start to pound the piss out of me'}, {'date': '1979', 'aut': 'T. Alibrandi', 'tit': 'Killshot', 'num': '53', '#text': 'Give you guys an education and you try to beat the piss out of everybody with it'}, {'date': '1982', 'aut': 'W. Wharton', 'tit': 'Midnight Clear', 'num': '95', '#text': 'I oughta stomp the pissin’ outa ya, mollycoddled lousy quizkid'}, {'date': '1991', 'aut': 'C. Hiaasen', 'tit': 'Native Tongue', 'num': '53', '#text': 'I’d beat the piss out of you, if I didn’t feel so bad'}, {'date': '2000', 'tit': 'Guardian', 'num': '9', '#text': 'Editor 12 May It beats the piss out of a StairMaster'}, {'@class': 'new', 'date': '2015', 'aut': 'D. Simon', 'tit': 'themarshallproject.org', '#text': ""on 29 Apr. [Internet] When you have African-American officers beating the dog-piss out of people they’re supposed to be policing [...] it's pretty remarkable""}, {'@class': 'new us', 'date': '2016', 'tit': 'Mother Jones', '#text': 'July/Aug. [Internet] The kid grabbed his throat and tried to strangle him. ‘I damn near beat the piss out of him’'}]",to beat severely,1934,"Jesus, if she don’ come out I’m gonna beat de piss outa —",2016.0,July/Aug. [Internet] The kid grabbed his throat and tried to strangle him. ‘I damn near beat the piss out of him’,phrase,beat the piss out of,piss
1930s,"[{'@first': 'yes', 'date': '1934', 'aut': 'G. Legman', 'tit': 'Rationale of the Dirty Joke', 'edn': '1972', 'num': '86', '#text': 'in  I If you don’t get off that horse this minute, I’ll kick the living piss out of you!'}, {'date': '1934', 'aut': 'H. Roth', 'tit': 'Call It Sleep', 'edn': '1977', 'num': '249', '#text': 'G’wan! [...] ’Fore we kick de piss ouda yiz'}, {'@class': 'new', 'date': '2011', 'aut': 'R.F. Coleman', 'tit': 'Pulp Ink', '#text': '‘Requiem for Spider’ in  [ebook] I’d had the piss kicked out of me by some pretty rough motherfuckers'}]",to beat severely,1934,"in  I If you don’t get off that horse this minute, I’ll kick the living piss out of you!",2011.0,‘Requiem for Spider’ in  [ebook] I’d had the piss kicked out of me by some pretty rough motherfuckers,phrase,kick the piss out of,piss
1970s,"{'@first': 'yes', 'date': '1970', 'aut': 'T. Parker', 'tit': 'Frying-Pan', 'num': '61', '#text': 'They like the tough ones, they enjoy knocking the piss out of them'}","to beat up, to assault",1970,"They like the tough ones, they enjoy knocking the piss out of them",1970.0,"They like the tough ones, they enjoy knocking the piss out of them",phrase,knock the piss out of,piss
2000s,"[{'@first': 'yes', 'date': '2000', 'aut': 'P. Howard', 'tit': 'Miseducation of Ross O’Carroll-Kelly', 'edn': '2004', 'num': '64', '#text': 'I’m going ‘My name is Fionn. For Irish press one [...]’ ripping the piss out of him, basically'}, {'date': '2006', 'aut': 'D. Mitchell', 'tit': 'Black Swan Green', 'num': '107', 'i': 'rip', '#text': 'Fancying girls’s dangerous [...] Kids at school  the piss out of you'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '76', '#text': 'I’ve got a feeling I’m having the piss ripped out of me by General Mortimer'}]",to tease aggressively,2000,"I’m going ‘My name is Fionn. For Irish press one [...]’ ripping the piss out of him, basically",2011.0,I’ve got a feeling I’m having the piss ripped out of me by General Mortimer,phrase,rip the piss out of,piss
1960s+,"[{'@first': 'yes', 'date': '1965', 'con': '1930s', 'aut': 'R. Wright', 'tit': 'Lawd Today', 'num': '174', '#text': 'He scared the piss out of them rich white folks!'}, {'date': '1970', 'aut': 'E. Thompson', 'tit': 'Garden of Sand', 'edn': '1981', 'num': '219', '#text': 'To scare the piss out of those old biddies was their collective intention'}, {'@class': 'N331', 'date': '1979', 'aut': 'B. Gutcheon', 'tit': 'New Girls', 'edn': '1982', 'num': '72', '#text': 'Oh, Christ, you scared the piss out of me!'}, {'@class': 'N331', 'date': '1983', 'aut': 'S. King', 'tit': 'Christine', 'num': '450', 'i': 'I', '#text': 'sure thought something was out of whack, and it scared the piss out of me'}, {'@class': 'N331', 'date': '1985', 'con': '1968', 'aut': 'D.A. Dye', 'tit': 'Citadel', 'edn': '1989', 'num': '50', '#text': 'Scairt the piss right outa me, man'}, {'date': '1986', 'aut': 'C. Stroud', 'tit': 'Close Pursuit', 'edn': '1988', 'num': '151', '#text': 'The PEP guys did real work — they scared the piss out of pushers and dealers'}, {'date': '2004', 'aut': 'E. Appell', 'tit': 'Lessons from the Gypsy Camp', 'num': '45', '#text': 'If you’re going to fight somebody, scare the piss out of them so they won’t turn you in'}]",to terrify,1965,He scared the piss out of them rich white folks!,2004.0,"If you’re going to fight somebody, scare the piss out of them so they won’t turn you in",phrase,scare the piss out of,piss
1930s+,"[{'@first': 'yes', 'date': '1946', 'aut': 'R. Grinstead', 'tit': 'They Dug a Hole', 'num': '8', '#text': 'In the Brigade of Guards [...] we have a language of our own, referring to this harmless, if at times extremely irritating, practice of ‘blackguarding’, or ‘taking the piss out of’ one’s fellows'}, {'@class': 'N331', 'date': '1949', 'aut': 'K. Amis', 'src': 'Leader', 'edn': '2000', 'num': '221', '#text': 'letter 29 Oct. in I feel protective towards her because it’s easy to take the piss out of her'}, {'date': '1958', 'con': '1940s', 'aut': 'B. Behan', 'tit': 'Borstal Boy', 'num': '47', '#text': 'I just can’t ’elp taking the piss'}, {'@class': 'N331', 'date': '1959', 'aut': 'K. Waterhouse', 'tit': 'Billy Liar', 'edn': '1962', 'num': '104', '#text': 'Let’s go take the piss out of Maurie'}, {'@class': 'N331', 'date': '1961', 'con': '1930s', 'aut': 'D. Behan', 'tit': 'Teems of Times and Happy Returns', 'num': '166', 'i': 'he', '#text': 'Little does  know, taking the piss more likely'}, {'date': '1963', 'aut': 'C. Wood', 'tit': 'Cockade', 'edn': '1965', 'num': 'I i', '#text': '‘Spare’ in I’ve had that – if you’d had that you wouldn’t piss take about it'}, {'date': '1965', 'aut': 'G. Melly', 'tit': 'Owning Up', 'edn': '1974', 'num': '209', '#text': 'Whether to take the piss out of us, or because he thought it genuinely funny, he pretended to be a homosexual'}, {'date': '1970', 'aut': 'A. Sillitoe', 'tit': 'Start in Life', 'edn': '1979', 'num': '192', '#text': 'She perpetually takes the piss out of you metropolitan ponces'}, {'@class': 'N331', 'date': '1973', 'aut': 'B.S. Johnson', 'tit': 'All Bull', 'num': '63', '#text': 'He would take the piss out of all around him at every opportunity'}, {'date': '1981', 'aut': 'W. Russell', 'tit': 'Educating Rita', 'num': 'I i', '#text': 'Look, I know I take the piss an’ that but I’m dead serious really'}, {'@class': 'new17C', 'date': '1996', 'aut': 'P. Howard', 'tit': 'The Joy', 'edn': '2015', '#text': '[ebook] Everyone just takes the piss out of him [...] but he never cops it'}, {'date': '1999', 'tit': 'Guardian', 'num': '4', '#text': 'G2 15 Mar. She takes the piss out of his pretentiousness'}, {'@class': 'N331', 'date': '2000', 'aut': 'N. Griffiths', 'tit': 'Grits', 'num': '166', '#text': 'A mean, wha a said was itself sarcastic . . . so I was like . . . tikein the piss aht meself an awl'}, {'date': '2001', 'aut': 'J. Baker', 'tit': 'Shooting in the Dark', 'edn': '2002', 'num': '107', '#text': 'As soon as we relax you start taking the piss'}, {'@class': 'new18D', 'date': '2007', 'aut': 'L. Redhead', 'tit': 'Cherry Pie', '#text': '[ebook] ‘We used to take the piss out of Trip, not to his face of course’'}, {'@class': 'new', 'date': '2011', 'aut': 'J.J. Connolly', 'tit': 'Viva La Madness', 'num': '62', '#text': '‘You’re taking the piss now,’ he says, getting twitchy'}, {'@class': 'new', 'date': '2012', 'aut': 'A. Savage', 'tit': 'Crime Factory: Hard Labour', '#text': '‘Killing Peacocks’ in  [ebook] I thought he was taking the piss until I saw them [i.e. peacocks] emerge from behind the house'}, {'@class': 'new18D', 'date': '2017', 'aut': 'T. Spicer', 'tit': 'Good Girl Stripped Bare', 'num': '227', '#text': 'I decide to take the piss, peppering my pieces with humour'}]","to tease, esp. aggressively",1946,"In the Brigade of Guards [...] we have a language of our own, referring to this harmless, if at times extremely irritating, practice of ‘blackguarding’, or ‘taking the piss out of’ one’s fellows",2017.0,"I decide to take the piss, peppering my pieces with humour",phrase,take the piss (out of),piss
1930s+,"[{'@first': 'yes', 'date': '1971', 'aut': 'J. Mandelkau', 'tit': 'Buttons', 'num': '143', '#text': 'They implied they had thought the prospects were wankers taking the piss out of the club'}, {'@class': 'N331', 'date': '1975', 'aut': '‘P.B. Yuill’', 'tit': 'Hazell and  the Three-card Trick', 'edn': '1977', 'num': '116', '#text': 'They got a bit riled you takin’ the piss outta their names'}, {'@class': 'N331', 'date': '1984', 'aut': 'A. Sayle', 'tit': 'Train to Hell', 'num': '80', '#text': 'I’ll tell you one thing we love about you in my country is how you take of those miserable bastards, the Albanians'}, {'date': '1989', 'con': '1950s–60s', 'aut': 'G. Tremlett', 'tit': 'Little Legs', 'num': '23', '#text': 'in A boy called Billy Robinson kept [...] taking the piss out of me'}, {'date': '1993', 'aut': 'C. Fowler', 'tit': 'Darkest Day', 'edn': '1998', 'num': '335', '#text': 'Everyone started taking the piss out of the Pre-Raffs'}, {'@class': 'N331', 'date': '1999', 'tit': 'Guardian', 'num': '6', '#text': 'Media 18 Oct. In modern Britain, the Lords is screaming to have the piss taken out of it'}, {'date': '2000', 'tit': 'Guardian', 'num': '4', '#text': '11 Jan. I don’t think he’s racist or taking the piss out of black people'}, {'@class': 'new', 'date': '2010', 'aut': 'K. Richards', 'tit': 'Life', 'num': '67', '#text': 'Loads of flash little sons of bitches would come down [...] to take the piss out of the art school students'}, {'@class': 'new16', 'date': '2016', 'aut': 'A. Wheatle', 'tit': 'Crongton Knights', 'num': '184', '#text': '‘You kept taking the living piss out of my uniform!’'}]","to attack verbally, to sneer or jeer at",1971,They implied they had thought the prospects were wankers taking the piss out of the club,2016.0,‘You kept taking the living piss out of my uniform!’,phrase,take the piss (out of),piss
1980s+,"[{'@first': 'yes', 'date': '1982', 'aut': 'J. Sullivan', 'tit': 'Only Fools and Horses', '#text': '‘Ashes to Ashes’  [TV script] Listen I know the Government keeps asking us to save energy, but this is taking the piss!'}, {'date': '1999', 'aut': 'K. Sampson', 'tit': 'Powder', 'num': '282', '#text': 'It’s a bad precedent, isn’t it, so early into a relationship. He’s taking the piss'}, {'date': '2000', 'tit': 'Erotic Rev.', 'num': '27', '#text': 'Feb. The idea that to hold back ejaculation all you have to do is tighten the same pelvic muscle that you use to stem the flow when you pass water, is, to employ the obvious phrase, taking the piss'}, {'@class': 'new', 'date': '2015', 'aut': 'I. Welsh', 'tit': 'Decent Ride', 'num': '37', '#text': 'Yir littin um take the pish again. Eftir aw the years that he humiliated ye'}]","to make something up, to say something ludicrous, to make grand claims, to joke; e.g. , he must be joking (because what he is saying is so ridiculous or unfair etc)",1982,"‘Ashes to Ashes’  [TV script] Listen I know the Government keeps asking us to save energy, but this is taking the piss!",2015.0,Yir littin um take the pish again. Eftir aw the years that he humiliated ye,phrase,take the piss (out of),piss
1990s+,"[{'@first': 'yes', 'date': '1999', 'aut': 'K. Sampson', 'tit': 'Powder', 'num': '209', '#text': 'He could only think Adam was taking the piss by running up a drugs tab'}, {'@class': 'N331', 'date': '2000', 'aut': 'J.J. Connolly', 'tit': 'Layer Cake', 'num': '10', '#text': 'It’s like selling anything else [...] if you don’t take piss, people’ll always come back'}, {'date': '2000', 'aut': 'N. Griffiths', 'tit': 'Grits', 'num': '25', '#text': 'Specky looks at me as if tuh say: You takin’ thuh fuckin piss, mate?'}, {'@class': 'new', 'date': '2011', 'tit': 'Guardian', '#text': ""8 Aug. [Internet] The kids have seen the opportunity to take the piss now – because they feel like they've been taken the piss out of their whole lives""}]","of a person, to act absurdly, to play the fool",1999,He could only think Adam was taking the piss by running up a drugs tab,2011.0,8 Aug. [Internet] The kids have seen the opportunity to take the piss now – because they feel like they've been taken the piss out of their whole lives,phrase,take the piss (out of),piss
1990s+,"{'@first': 'yes', 'date': '1997', 'aut': 'N. Barlay', 'tit': 'Curvy Lovebox', 'num': '119', '#text': 'Cunt’s takin’ the fuckin’ piss'}","of a man, to have sexual intercourse",1997,Cunt’s takin’ the fuckin’ piss,1997.0,Cunt’s takin’ the fuckin’ piss,phrase,take the piss (out of),piss
1990s+,"{'@first': 'yes', 'date': '1996', 'aut': 'UGK', '#text': '‘That’s Why I Carry’ [lyrics] I wanna whip the piss out / And this not a threat'}",to beat severely,1996,‘That’s Why I Carry’ [lyrics] I wanna whip the piss out / And this not a threat,1996.0,‘That’s Why I Carry’ [lyrics] I wanna whip the piss out / And this not a threat,phrase,whip the piss (out of),piss
2000s+,"[{'@class': 'new', 'date': '2004', 'tit': 'Urban Dict.', '#text': '7 Sept. [Internet] pissbolt Australian slang [...] You should have seen that kid pissbolt out of there'}, {'@class': 'new', 'date': '2010', 'aut': 'L. Redhead', 'tit': 'Thrill City', '#text': '[ebook] Saw you piss-bolt down the street'}, {'@class': 'new', 'date': '2015', 'tit': 'Twitter', '#text': '29 July [Internet] I just piss-bolted to catch a fucken train and fucken got there right as the door was closing'}]",to run (away) fast,2004,7 Sept. [Internet] pissbolt Australian slang [...] You should have seen that kid pissbolt out of there,2015.0,29 July [Internet] I just piss-bolted to catch a fucken train and fucken got there right as the door was closing,phrase,piss-bolt,piss
1930s+,"[{'@first': 'yes', 'date': '1939', 'aut': 'H. Miller', 'tit': 'Tropic of Capricorn', 'edn': '1964', 'num': '153', '#text': 'He would give her a clout and tell her to go piss up the end of a rope'}, {'date': '1959', 'aut': 'C. MacInnes', 'tit': 'Absolute Beginners', 'num': '145', '#text': 'Ed [...] you can go and p—s up your leg'}, {'date': '1961', 'con': 'early 1950s', 'aut': 'J. Peacock', 'tit': 'Valhalla', 'num': '21', '#text': 'That’s about as useless as pissin’ up a rope'}, {'date': '1966', 'aut': 'F. Elli', 'tit': 'Riot', 'edn': '1967', 'num': '218', '#text': 'He told me to go piss up a rope'}, {'@class': 'N331', 'date': '1971', 'aut': 'W. Burk', 'tit': 'Thief', 'num': '264', '#text': 'Go fuck yourself. Like, go piss up a rope, you know?'}, {'date': '1971', 'con': 'WWII', 'aut': 'B. Aldiss', 'tit': 'Soldier Erect', 'num': '270', '#text': 'Away and piss up your kilt, Jock!'}, {'date': '1972', 'aut': 'K. Bonfiglioli', 'tit': 'Don’t Point That Thing at Me', 'edn': '1991', 'num': '53', '#text': 'The Foreign Office told me to go and piss up my kilt'}, {'date': '1978', 'aut': 'S. Longstreet', 'tit': 'Straw Boss', 'edn': '1979', 'num': '296', '#text': 'Go piss up a rope, mister'}, {'@class': 'new19A', 'date': '1996', 'aut': 'Dean Ween', '#text': '‘Piss Up a Rope’ [lyrics] Now you’re up shits creek with a turd for a paddle / [...] / You can piss up a rope'}, {'date': '1999', 'tit': 'Observer', 'num': '4', '#text': 'Rev. 20 June I told him to sling his hook and piss up a rope'}, {'date': '2000', 'aut': 'A. Sloley', 'tit': 'DigitalExperience.com', '#text': '‘Tapers Revenge’ at  [Internet] If a librarian asks you what the hell you’re doing, tell her to go piss up a flagpole and continue your task'}, {'@class': 'N331', 'date': '2000', 'aut': 'W.T. Vollmann', 'tit': 'Royal Family', 'num': '289', '#text': 'Maj can pee up a rope'}, {'date': '2002', 'aut': 'I. Duff', 'tit': 'Yahoo! Groups', '#text': '‘The Solaris X86 Mailing List’ on  [Internet] Virtually any other vendor would have essentially told us to go piss up a pipe, and moved on'}, {'date': '2005', 'tit': 'thinkprogress.org', '#text': 'posting at  11 Oct. [Internet] Until the DONK LOSERS who run that shit-hole we call Louisiana asks him for the extension you might as well piss up a rope'}, {'@class': 'new', 'date': '2011', 'aut': 'S. Racek', 'tit': 'Time to Die', 'num': '70', '#text': 'If I wasn’t such a good guy, I’d tell you to go piss up a rope'}]",a general excl. of dismissal,1939,He would give her a clout and tell her to go piss up the end of a rope,2011.0,"If I wasn’t such a good guy, I’d tell you to go piss up a rope",phrase,go (and) piss up a rope!,piss
,"{'@first': 'yes', 'date': '1986', 'aut': 'S. King', 'tit': 'It', 'edn': '1987', 'num': '42', '#text': 'He was in a real piss-up-a-rope mood because he took this pill, you know?'}",attrib. use of sense 1,1986,"He was in a real piss-up-a-rope mood because he took this pill, you know?",1986.0,"He was in a real piss-up-a-rope mood because he took this pill, you know?",phrase,go (and) piss up a rope!,piss
1970s,"{'@first': 'yes', 'date': '1970', 'aut': 'D. Ponicsan', 'tit': 'Last Detail', 'num': '168', '#text': '‘Piss around a pretzel!’ yells Mule and slams the door behind him'}",a dismissive excl,1970,‘Piss around a pretzel!’ yells Mule and slams the door behind him,1970.0,‘Piss around a pretzel!’ yells Mule and slams the door behind him,phrase,piss around a pretzel!,piss
